original_name,qs_canonical_name,similarity_score
University Of Dundee, University of Dundee,100.0
Aalto University,Aalto University,100.0
University Of Aarhus,Aarhus University,80.0
Aberystwyth University,Aberystwyth University,100.0
Addis Ababa University,Addis Ababa University,100.0
Albert-Ludwigs-Universitt Freiburg,Albert-Ludwigs-Universitaet Freiburg,97.14285714285714
Alexandria University,Alexandria University ,100.0
American SIS,American University,80.0
SIS American University,American University,80.0
Anna University,Anna University,100.0
"Aristotle University Of Thessaloniki, Greece",Aristotle University of Thessaloniki,87.71929824561404
Arizona State Uni,Arizona State University,86.66666666666667
Northern Arizona State University,Arizona State University,74.28571428571429
Fartston University,Aston University,76.92307692307692
Auburn University,Auburn University,100.0
Bangladesh University Of Engineering & Technology,Bangladesh University of Engineering and Technology,94.73684210526316
Baylor University,Baylor University,100.0
Bilkent University,Bilkent University,100.0
Binghamton University SUNY,Binghamton University SUNY,100.0
SUNY Binghamton University,Binghamton University SUNY,100.0
"University Of Binghamton , SUNY",Binghamton University SUNY,90.9090909090909
"Birkbeck, University Of Lond","Birkbeck, University of London",94.11764705882352
Bogazici University,Bogaziçi University,87.5
Boston College,Boston University,100.0
Boston Univ,Boston University,100.0
BOSTON Univ.  &  USC,Boston University,75.0
Boston Uni,Boston University,75.0
Monmouth University,Bournemouth University,73.6842105263158
Brandeis University,Brandeis University,100.0
Brigham Young University,Brigham Young University,100.0
Brigham Young University BYU,Brigham Young University,86.66666666666667
Brigham Young University-Idaho,Brigham Young University,78.78787878787878
Brigham Young University - Provo,Brigham Young University,76.47058823529412
University Of Ontario Institute Of Technology,Brno University of Technology,76.19047619047619
Brock University,Brock University,100.0
Brown,Brown University,100.0
"California Institute Of Technology, Caltech",California Institute of Technology (Caltech),100.0
"California Polytechnic University, Pomona",California Polytechnic State University,84.21052631578947
California Polytechnic State University San Luis Obispo,California Polytechnic State University,77.77777777777779
Cal State University Los Angeles,California State University - Los Angeles,82.35294117647058
Cal State University Long Beach,"California State University, Long Beach",85.1063829787234
Cardiff University,Cardiff University,100.0
Carlton University,Carleton University,93.33333333333333
Carnegie Mellon,Carnegie Mellon University,100.0
Carnegie Mellon Unive.,Carnegie Mellon University,83.33333333333334
Carnegie Mellon University - Heinz,Carnegie Mellon University,78.94736842105263
Carnegie Mellon University Teppers,Carnegie Mellon University,78.94736842105263
"Robotics Institute, Carnegie Mellon University",Carnegie Mellon University,76.92307692307692
"Carnegie Mellon University, Pittsburgh",Carnegie Mellon University,73.17073170731707
Carnegie Mellon University-Australia,Carnegie Mellon University,73.17073170731707
Central Michigan University,Central Michigan University,100.0
South Dakota Central,Central South University,78.78787878787878
Chalmers University Of Technology,Chalmers University of Technology,100.0
South China Agricultural University,China Agricultural University ,85.71428571428572
City University London,"City, University of London",88.0
Carkson University,Clarkson University,93.33333333333333
Clark University,Clarkson University,76.92307692307692
Clemson University,Clemson University,100.0
